Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,DigiKeyLink,LCSC,LCSCLink,LinkLCSC,MANUFACTURER,MAXIMUM_PACKAGE_HEIGHT,MPN,MPN_LCSC,PARTREV,Price,Price_LCSC,Price_LCSSC,STANDARD,VALUE
11,1,IC1,DW01A,DW01A:DW01A,Package_TO_SOT_SMD:SOT-23-6,,,C351410,https://lcsc.com/product-detail/Battery-Management-ICs_PUOLOP-DW01A_C351410.html,,,,DW01A,C351410,,,0.061,,,DW01A
12,1,J1,USB_B_Micro,Connector:USB_B_Micro,Connector_USB:USB_Micro-B_Amphenol_10118194_Horizontal,https://www.molex.com/pdm_docs/sd/1050170001_sd.pdf,https://www.digikey.ca/en/products/detail/molex/1050170001/2350832,,,https://lcsc.com/product-detail/USB-Connectors_MOLEX-1050170001_C136000.html,,,WM1399CT-ND,C136000,,1.33,0.244,,,
14,1,Q1,FS8205A,FS8205A:FS8205A,Package_TO_SOT_SMD:SOT-23-6,,,,https://lcsc.com/product-detail/MOSFETs_Fortune-Semicon-FS8205A_C16052.html,,Fortune Semiconductor,1.2mm,,C16052,1.7,0.2665,,,IPC 7351B,
15,2,"Q2, Q3",Q_NPN_BEC,Device:Q_NPN_BEC,Package_TO_SOT_SMD:SOT-523,~,,,https://lcsc.com/product-detail/Bipolar-Transistors-BJT_CBI-2SC4617R-BR_C2836080.html,,,,,C2836080,,,0.0163,,,
16,1,Q4,Q_PMOS_DGS,Device:Q_PMOS_DGS,Package_TO_SOT_SMD:SOT-883,~,,,,,,,,C172433,,,0.0424,,,
17,1,R1,100,Device:R,Resistor_SMD:R_0402_1005Metric,~,,,https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount_FH-Guangdong-Fenghua-Advanced-Tech-RC-02W101JT_C258109.html,,,,,C258109,,,0.005,,,
18,3,"R2, R14, R15",10K,Device:R_Small,Resistor_SMD:R_0402_1005Metric,https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf,https://www.digikey.ca/en/products/detail/stackpole-electronics-inc/RMCF0402JT10K0/1758206,,https://lcsc.com/product-detail/Chip-span-style-background-color-ff0-Resistor-span-Surface-Mount_FOJAN-FRC0402J103-TS_C2906885.html,,,,RMCF0402JT10K0CT-ND,C2906885,,0.018,0.0005,,,
19,1,R4,1K,Device:R,Resistor_SMD:R_0402_1005Metric,~,,,,https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount_FOJAN-FRC0402J102-TS_C2906899.html,,,,C2906899,,,0.0005,,,
20,1,R5,4K,Device:R,Resistor_SMD:R_0402_1005Metric,~,,,https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount_UNI-ROYAL-Uniroyal-Elec-0402WGF4021TCE_C43251.html,,,,,C43251,,,0.0006,,,
21,2,"R6, R7",10K*,Device:R_Small,Resistor_SMD:R_0402_1005Metric,https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf,https://www.digikey.ca/en/products/detail/stackpole-electronics-inc/RMCF0402JT10K0/1758206,,https://lcsc.com/product-detail/Chip-span-style-background-color-ff0-Resistor-span-Surface-Mount_FOJAN-FRC0402J103-TS_C2906885.html,,,,RMCF0402JT10K0CT-ND,C2906885,,0.018,0.0005,,,
