Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,A_MAX,B_MAX,B_MIN,B_NOM,D2_NOM,D_MAX,D_MIN,D_NOM,DigiKeyLink,E2_NOM,ENOM,E_MAX,E_MIN,E_NOM,LCSC,LCSCLink,L_MAX,L_MIN,L_NOM,LinkLCSC,MANUFACTURER,MAXIMUM_PACKAGE_HEIGHT,MPN,MPN_LCSC,PARTREV,PIN_COUNT_D,PIN_COUNT_E,Price,Price_LCSC,SNAPEDA_PACKAGE_ID,STANDARD,VALUE
22,2,"Q2, Q3",Q_NPN_BEC,Device:Q_NPN_BEC,Package_TO_SOT_SMD:SOT-523,~,,,,,,,,,,,,,,,,https://lcsc.com/product-detail/Bipolar-Transistors-BJT_CBI-2SC4617R-BR_C2836080.html,,,,,,,,C2836080,,,,,0.0163,,,
23,1,R1,100,Device:R,Resistor_SMD:R_0402_1005Metric,~,,,,,,,,,,,,,,,,https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount_FH-Guangdong-Fenghua-Advanced-Tech-RC-02W101JT_C258109.html,,,,,,,,C258109,,,,,0.005,,,
24,3,"R2, R14, R15",10K,Device:R_Small,Resistor_SMD:R_0402_1005Metric,https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf,,,,,,,,,https://www.digikey.ca/en/products/detail/stackpole-electronics-inc/RMCF0402JT10K0/1758206,,,,,,,https://lcsc.com/product-detail/Chip-span-style-background-color-ff0-Resistor-span-Surface-Mount_FOJAN-FRC0402J103-TS_C2906885.html,,,,,,,RMCF0402JT10K0CT-ND,C2906885,,,,0.018,0.0005,,,
25,1,R3,0R,Device:R,Resistor_SMD:R_0402_1005Metric,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_51_RoHS_P_2.pdf,,,,,,,,,https://www.digikey.ca/en/products/detail/yageo/RC0402JR-070RP/4935294,,,,,,,https://lcsc.com/product-detail/Chip-span-style-background-color-ff0-Resistor-span-Surface-Mount_FOJAN-FRC0402P000-TS_C2906877.html,,,,,,,YAG1279CT-ND,C2906877,,,,0.0182,0.0005,,,
26,1,R4,1K,Device:R,Resistor_SMD:R_0402_1005Metric,~,,,,,,,,,,,,,,,,,,,,https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount_FOJAN-FRC0402J102-TS_C2906899.html,,,,C2906899,,,,,0.0005,,,
27,1,R5,4K,Device:R,Resistor_SMD:R_0402_1005Metric,~,,,,,,,,,,,,,,,,https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount_UNI-ROYAL-Uniroyal-Elec-0402WGF4021TCE_C43251.html,,,,,,,,C43251,,,,,0.0006,,,
28,2,"R6, R7",10K*,Device:R_Small,Resistor_SMD:R_0402_1005Metric,https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf,,,,,,,,,https://www.digikey.ca/en/products/detail/stackpole-electronics-inc/RMCF0402JT10K0/1758206,,,,,,,https://lcsc.com/product-detail/Chip-span-style-background-color-ff0-Resistor-span-Surface-Mount_FOJAN-FRC0402J103-TS_C2906885.html,,,,,,,RMCF0402JT10K0CT-ND,C2906885,,,,0.018,0.0005,,,
29,2,"R8, R9",330R,Device:R,Resistor_SMD:R_0402_1005Metric,~,,,,,,,,,,,,,,,,https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount_YAGEO-RC0402JR-07330RL_C105876.html,,,,,,,,C105876,,,,,0.0005,,,
30,2,"R10, R11",270R,Device:R,Resistor_SMD:R_0402_1005Metric,~,,,,,,,,,,,,,,,,https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount_FH-Guangdong-Fenghua-Advanced-Tech-RC-02K271JT_C453619.html,,,,,,,,C453619,,,,,0.0005,,,
31,1,R12,442K,Device:R_Small,Resistor_SMD:R_0402_1005Metric,~,,,,,,,,,,,,,,,,,,,,https://lcsc.com/product-detail/Chip-span-style-background-color-ff0-Resistor-span-Surface-Mount_YAGEO-RC0402FR-07442KL_C273339.html,,,,C273339,,,,,0.0006,,,
32,1,R13,160K,Device:R_Small,Resistor_SMD:R_0402_1005Metric,~,,,,,,,,,,,,,,,,https://lcsc.com/product-detail/Chip-span-style-background-color-ff0-Resistor-span-Surface-Mount_UNI-ROYAL-Uniroyal-Elec-0402WGJ0164TCE_C423115.html,,,,,,,,C423115,,,,,0.0005,,,
33,1,SW1,SW_SPST,Switch:SW_SPST,Button_Switch_SMD:SW_SPST_B3U-3100P-B,https://omronfs.omron.com/en_US/ecb/products/pdf/en-b3u.pdf,,,,,,,,,https://www.digikey.ca/en/products/detail/omron-electronics-inc-emc-div/B3U-3100P-B/1811780,,,,,,,,,,,,,,SW1103CT-ND,,,,,1.49,,,,
57,1,U1,ESP32-PICO-D4,ESP32-PICO-D4:ESP32-PICO-D4,OpenSourceSmartGlasses:ESP32_PICO_D4_smallGND,https://www.espressif.com/sites/default/files/documentation/esp32-pico-d4_datasheet_en.pdf,,,,,,,,,https://www.digikey.ca/en/products/detail/espressif-systems/ESP32-PICO-D4/9381722,,,,,,,https://lcsc.com/product-detail/RF-Transceiver-ICs_Espressif-Systems-ESP32-PICO-D4_C193707.html,,,,,Espressif Systems,1.04 mm,1904-1029-1-ND,C193707,v1.9,,,4.1837,,,IPC 7351B,
58,1,U2,TP4056,TP4056:TP4056,Package_SO:SOP-8_5.28x5.23mm_P1.27mm,,,,,,,,,,,,,,,,,https://lcsc.com/product-detail/Battery-Management-ICs_TOPPOWER-Nanjing-Extension-Microelectronics-TP4056M_C21417.html,,,,,NanJing Top Power ASIC Corp.,1.75mm,,C21417,,,,,0.3102,,IPC 7351B,
59,1,U3,XC6222B331MRG,OSSG_components_lib:XC6222B331MRG,Package_TO_SOT_SMD:SOT-23-5,https://media.digikey.com/pdf/Data%20Sheets/Torex/XC6222.pdf,,,,,,,,,https://www.digikey.ca/en/products/detail/torex-semiconductor-ltd/XC6222B331MR-G/2138187,,,,,,,https://lcsc.com/product-detail/Linear-Voltage-Regulators-span-style-background-color-ff0-LDO-span_MICRONE-Nanjing-Micro-One-Elec-ME6217C33M5G_C427602.html,,,,,,,893-1143-1-ND,C427602,,,,1.25,0.58,,,
60,1,U4,FT232RQ,FT232RQ:FT232RQ,OpenSourceSmartGlasses:QFN32_5mmx5mm_smallEP,,0.9,0.3,0.2,0.25,3.4,5,5,5,,3.4,0.5,5,5,5,,https://lcsc.com/product-detail/USB-ICs_FTDI-FT232RQ-REEL_C14090.html,0.45,0.35,0.4,,FTDI,0.9mm,,C14090,2.15,8,8,,16.1196,71296,IPC 7351B,
61,1,U5,APX803L-29SA-7,OSSG_components_lib:APX803L-29SA-7,Package_TO_SOT_SMD:SOT-23,https://www.diodes.com/assets/Datasheets/APX803L.pdf,,,,,,,,,https://www.digikey.ca/en/products/detail/diodes-incorporated/APX803L-29SA-7/7352579?s=N4IgTCBcDaIIIAUAaAOADAZgDIFowE4BlOHAdhAF0BfIA,,,,,,,https://lcsc.com/product-detail/Monitors-Reset-Circuits_ChipLink-Tech-CL7809SS_C2961121.html,,,,,,,APX803L-29SA-7DICT-ND,CL7809SS,,,,0.59,0.0395,,,
62,1,U6,MP23DB01HPTR,microphone-rescue:MP23DB01HPTR-Pauls_Symbol_Library,footprints:MP23DB01HPTR,https://www.st.com/resource/en/datasheet/mp23db01hp.pdf,,,,,,,,,https://www.digikey.ca/en/products/detail/stmicroelectronics/MP23DB01HPTR/12337705?s=N4IgTCBcDaILIAUwGYAiAhADARgBIIBUAlEAXQF8g,,,,,,,https://www.lcsc.com/product-detail/MEMS-Microphones_INGHAi-GMA3526H10-B26_C498192.html,,,,,,,497-MP23DB01HPCT-ND,C498192,,,,3.31,1.0964,,,
